"(327.0, 192.0, 336.0, 217.0, 738.0, 495.0, 744.0, 418.0)","(327.00000001490116, 192.0, 336.0, 217.0, 738.0, 495.0, 744.0, 418.0)","(327.0, 192.00000001490116, 336.0, 217.0, 738.0, 495.0, 744.0, 418.0)","(327.0, 192.0, 336.00000001490116, 217.0, 738.0, 495.0, 744.0, 418.0)","(327.0, 192.0, 336.0, 217.00000001490116, 738.0, 495.0, 744.0, 418.0)","(327.0, 192.0, 336.0, 217.0, 738.0000000149012, 495.0, 744.0, 418.0)","(327.0, 192.0, 336.0, 217.0, 738.0, 495.00000001490116, 744.0, 418.0)","(327.0, 192.0, 336.0, 217.0, 738.0, 495.0, 744.0000000149012, 418.0)","(327.0, 192.0, 336.0, 217.0, 738.0, 495.0, 744.0, 418.00000001490116)"
-9.550992345044229e-108,-9.550992345044229e-108,-9.550992345044229e-108,-9.550992345044229e-108,-9.550992345044229e-108,-9.550992345044229e-108,-9.550992345044229e-108,-9.550992345044229e-108,-9.550992605312407e-108
"(361.0, 162.0, 351.0, 200.0, 746.0, 384.0, 633.0, 371.0)","(361.00000001490116, 162.0, 351.0, 200.0, 746.0, 384.0, 633.0, 371.0)","(361.0, 162.00000001490116, 351.0, 200.0, 746.0, 384.0, 633.0, 371.0)","(361.0, 162.0, 351.00000001490116, 200.0, 746.0, 384.0, 633.0, 371.0)","(361.0, 162.0, 351.0, 200.00000001490116, 746.0, 384.0, 633.0, 371.0)","(361.0, 162.0, 351.0, 200.0, 746.0000000149012, 384.0, 633.0, 371.0)","(361.0, 162.0, 351.0, 200.0, 746.0, 384.00000001490116, 633.0, 371.0)","(361.0, 162.0, 351.0, 200.0, 746.0, 384.0, 633.0000000149012, 371.0)","(361.0, 162.0, 351.0, 200.0, 746.0, 384.0, 633.0, 371.00000001490116)"
-1.926622179073432e-248,-1.926622179073432e-248,-1.926622179073432e-248,-1.926622179073432e-248,-1.926622179073432e-248,-1.926622179073432e-248,-1.9266222659023004e-248,-1.9266222669118924e-248,-1.92662227902806e-248
"(415.0, 184.0, 419.0, 159.0, 676.0, 359.0, 719.0, 468.0)","(415.00000001490116, 184.0, 419.0, 159.0, 676.0, 359.0, 719.0, 468.0)","(415.0, 184.00000001490116, 419.0, 159.0, 676.0, 359.0, 719.0, 468.0)","(415.0, 184.0, 419.00000001490116, 159.0, 676.0, 359.0, 719.0, 468.0)","(415.0, 184.0, 419.0, 159.00000001490116, 676.0, 359.0, 719.0, 468.0)","(415.0, 184.0, 419.0, 159.0, 676.0000000149012, 359.0, 719.0, 468.0)","(415.0, 184.0, 419.0, 159.0, 676.0, 359.00000001490116, 719.0, 468.0)","(415.0, 184.0, 419.0, 159.0, 676.0, 359.0, 719.0000000149012, 468.0)","(415.0, 184.0, 419.0, 159.0, 676.0, 359.0, 719.0, 468.00000001490116)"
-1.5995795015583298e-264,-1.5995795015583298e-264,-1.5995795015583298e-264,-1.5995795015583298e-264,-1.5995795015583298e-264,-1.5995795384402808e-264,-1.5995795946044194e-264,-1.5995795946044194e-264,-1.5995795946044194e-264
"(376.0, 124.0, 430.0, 101.0, 732.0, 465.0, 620.0, 497.0)","(376.00000001490116, 124.0, 430.0, 101.0, 732.0, 465.0, 620.0, 497.0)","(376.0, 124.00000001490116, 430.0, 101.0, 732.0, 465.0, 620.0, 497.0)","(376.0, 124.0, 430.00000001490116, 101.0, 732.0, 465.0, 620.0, 497.0)","(376.0, 124.0, 430.0, 101.00000001490116, 732.0, 465.0, 620.0, 497.0)","(376.0, 124.0, 430.0, 101.0, 732.0000000149012, 465.0, 620.0, 497.0)","(376.0, 124.0, 430.0, 101.0, 732.0, 465.00000001490116, 620.0, 497.0)","(376.0, 124.0, 430.0, 101.0, 732.0, 465.0, 620.0000000149012, 497.0)","(376.0, 124.0, 430.0, 101.0, 732.0, 465.0, 620.0, 497.00000001490116)"
-1.2016974826170184e-180,-1.2016974826170184e-180,-1.2016974826170184e-180,-1.2016974826170184e-180,-1.2016974913728057e-180,-1.2016974913728057e-180,-1.2016974913728057e-180,-1.2016975455918038e-180,-1.2016975455918038e-180
"(406.0, 179.0, 386.0, 129.0, 632.0, 465.0, 737.0, 468.0)","(406.00000001490116, 179.0, 386.0, 129.0, 632.0, 465.0, 737.0, 468.0)","(406.0, 179.00000001490116, 386.0, 129.0, 632.0, 465.0, 737.0, 468.0)","(406.0, 179.0, 386.00000001490116, 129.0, 632.0, 465.0, 737.0, 468.0)","(406.0, 179.0, 386.0, 129.00000001490116, 632.0, 465.0, 737.0, 468.0)","(406.0, 179.0, 386.0, 129.0, 632.0000000149012, 465.0, 737.0, 468.0)","(406.0, 179.0, 386.0, 129.0, 632.0, 465.00000001490116, 737.0, 468.0)","(406.0, 179.0, 386.0, 129.0, 632.0, 465.0, 737.0000000149012, 468.0)","(406.0, 179.0, 386.0, 129.0, 632.0, 465.0, 737.0, 468.00000001490116)"
0,0,0,0,0,0,0,0,0
