SD1,sD1,SD2,sD2,SR1,sR1,SR2,sR2
720,470,720,470,310,115,310,115
720,470,720,470,310,115,310,120
720,470,720,470,310,115,310,125
720,470,720,470,310,115,310,130
720,470,720,470,310,115,315,115
720,470,720,470,310,115,315,120
720,470,720,470,310,115,315,125
720,470,720,470,310,115,315,130
720,470,720,470,310,115,320,115
720,470,720,470,310,115,320,120
720,470,720,470,310,115,320,125
720,470,720,470,310,115,320,130
720,470,720,470,310,115,325,115
720,470,720,470,310,115,325,120
720,470,720,470,310,115,325,125
720,470,720,470,310,115,325,130
720,470,720,470,310,120,310,115
720,470,720,470,310,120,310,120
720,470,720,470,310,120,310,125
720,470,720,470,310,120,310,130
720,470,720,470,310,120,315,115
720,470,720,470,310,120,315,120
720,470,720,470,310,120,315,125
720,470,720,470,310,120,315,130
720,470,720,470,310,120,320,115
720,470,720,470,310,120,320,120
720,470,720,470,310,120,320,125
720,470,720,470,310,120,320,130
720,470,720,470,310,120,325,115
720,470,720,470,310,120,325,120
720,470,720,470,310,120,325,125
720,470,720,470,310,120,325,130
720,470,720,470,310,125,310,115
720,470,720,470,310,125,310,120
720,470,720,470,310,125,310,125
720,470,720,470,310,125,310,130
720,470,720,470,310,125,315,115
720,470,720,470,310,125,315,120
720,470,720,470,310,125,315,125
720,470,720,470,310,125,315,130
720,470,720,470,310,125,320,115
720,470,720,470,310,125,320,120
720,470,720,470,310,125,320,125
720,470,720,470,310,125,320,130
720,470,720,470,310,125,325,115
720,470,720,470,310,125,325,120
720,470,720,470,310,125,325,125
720,470,720,470,310,125,325,130
720,470,720,470,310,130,310,115
720,470,720,470,310,130,310,120
720,470,720,470,310,130,310,125
720,470,720,470,310,130,310,130
720,470,720,470,310,130,315,115
720,470,720,470,310,130,315,120
720,470,720,470,310,130,315,125
720,470,720,470,310,130,315,130
720,470,720,470,310,130,320,115
720,470,720,470,310,130,320,120
720,470,720,470,310,130,320,125
720,470,720,470,310,130,320,130
720,470,720,470,310,130,325,115
720,470,720,470,310,130,325,120
720,470,720,470,310,130,325,125
720,470,720,470,310,130,325,130
720,470,720,470,315,115,310,115
720,470,720,470,315,115,310,120
720,470,720,470,315,115,310,125
720,470,720,470,315,115,310,130
720,470,720,470,315,115,315,115
720,470,720,470,315,115,315,120
720,470,720,470,315,115,315,125
720,470,720,470,315,115,315,130
720,470,720,470,315,115,320,115
