arr_rate,p,Profit,purchess_lim,,,,,,,,,,
20,0.5,100,10,,,,,,SD1,[600,650,700,750]
SR1,sR1,SR2,sR2,SD1,sD1,SD2,sD2,,sD1,[350,400,450,500]
300,200,350,200,700,350,650,400,,SD2,[600,650,700,750]
,,,,,,,,,sD2,[350,400,450,500]
sr,days,sims,std,std err,rse,mean,time,,SR1,[300,350,400,450]
1,60,60,257.05,33.19,1.22,2718.73,5.5,,sR1,[100,150,200,250]
2,90,60,251.77,32.5,1.23,2651.65,13.76,,SR2,[300,350,400,450]
3,180,60,137.23,17.72,0.67,2629.88,30.25,,sR2,[100,150,200,250]
4,360,60,96.16,12.41,0.47,2666.83,63.3,,,,,,
5,720,60,68.93,8.9,0.34,2642.32,129.31,,,,,,
6,900,60,69.06,8.92,0.34,2630.63,198.97,,,,,,
7,1080,60,65.41,8.44,0.32,2628.89,280.76,,,,,,
8,1260,60,58.15,7.51,0.28,2639.14,381.02,,,,,,
,,,,,,,,,,,,,
sr,days,sims,std,err,rse,mean,time,,,,,,
1,60,80,290.35,32.46,1.22,2670.03,7.33,,,,,,
2,90,80,248.39,27.77,1.04,2676.47,18.35,,,,,,
3,180,80,155.93,17.43,0.65,2673.36,40.29,,,,,,
4,360,80,111.49,12.46,0.47,2666.52,84.61,,,,,,
5,720,80,64.12,7.17,0.27,2637.87,159.2,,,,,,
6,900,80,72.87,8.15,0.31,2651.96,237.89,,,,,,
7,1080,80,66.41,7.43,0.28,2648.37,370.01,,,,,,
8,1260,80,49.59,5.54,0.21,2635.34,524.02,,,,,,
,,,,,,,,,,,,,
sr,days,sims,std,err,rse,mean,time,,,,,,
1,60,100,309.1,30.91,1.16,2670.95,9.53,,,,,,
2,90,100,239.7,23.97,0.91,2633.35,23.42,,,,,,
3,180,100,163.88,16.39,0.62,2659.22,51.24,,,,,,
4,360,100,125.39,12.54,0.47,2653.64,106.89,,,,,,
5,720,100,85.88,8.59,0.33,2630.9,218.26,,,,,,
6,900,100,70.38,7.04,0.27,2645.71,357.72,,,,,,
7,1080,100,69.32,6.93,0.26,2639.85,525.52,,,,,,
8,1260,100,60.65,6.06,0.23,2642.84,720.88,,,,,,
,,,,,,,,,,,,,
sr,days,sims,std,err,rse,mean,time,,,,,,
,100,100,200.22,20.02,0.74,2691.1,15.34,,,,,,
,200,100,169.11,16.91,0.63,2682.74,46.06,,,,,,
,300,100,123.78,12.38,0.47,2645.18,91.88,,,,,,
,400,100,112.09,11.21,0.43,2626.25,153.07,,,,,,
,500,100,91.42,9.14,0.34,2651.75,229.66,,,,,,
,600,100,86.6,8.66,0.33,2646.87,321.62,,,,,,
,700,100,78.25,7.83,0.3,2646.32,428.79,,,,,,
,800,100,75.28,7.53,0.28,2650.46,551.35,,,,,,
,900,100,73.72,7.37,0.28,2637.3,689.12,,,,,,
,1000,100,64.55,6.45,0.24,2644.76,842.34,,,,,,
,,,,,,,,,,,,,
sr,days,sims,std,err,rse,mean,time,,,,,,
,100,200,210.68,14.9,0.55,2689.76,30.6,,,,,,
,200,200,158.74,11.22,0.42,2667.03,91.54,,,,,,
,300,200,121.03,8.56,0.32,2643.98,183.1,,,,,,
,400,200,113.6,8.03,0.3,2653.52,305.33,,,,,,
,500,200,95.24,6.73,0.25,2643.38,458.02,,,,,,
,600,200,86.65,6.13,0.23,2632.24,641.02,,,,,,
,700,200,80.22,5.67,0.21,2639.08,855.21,,,,,,
,800,200,76.32,5.4,0.2,2646.33,1100.73,,,,,,
,900,200,67.64,4.78,0.18,2645.1,1375.73,,,,,,
,1000,200,69.43,4.91,0.19,2648.62,1681.55,,,,,,
,,,,,,,,,,,,,
sr,days,sims,std,err,rse,mean,time,,,,,,
,100,400,217.39,10.87,0.41,2648.08,55.95,,,,,,
,200,400,152.86,7.64,0.29,2667.84,179.29,,,,,,
,300,400,127.55,6.38,0.24,2653.18,358.23,,,,,,
,400,400,107.77,5.39,0.2,2642.32,599.78,,,,,,
,500,400,105.19,5.26,0.2,2642.48,877.62,,,,,,
,600,400,91.39,4.57,0.17,2631.46,1248.96,,,,,,
,700,400,82.31,4.12,0.16,2649.46,1682.13,,,,,,
,800,400,79.17,3.96,0.15,2643.67,2176.54,,,,,,
,900,400,73.71,3.69,0.14,2645.19,2733.22,,,,,,
,1000,400,67.76,3.39,0.13,2646.82,3353.42,,,,,,
