arr_rate,profit_P,num_of_days,num_of_sims,p,S_R1,s_R1,p1,S_R2,s_R2,p2,S_D1,s_D1,S_D2,s_D2,frac_cust_ret,avg_profit,avg_hold_c,avg_del_c,avg_net_profit
10,100,1000,100,0.5,25,25,0.5,25,25,0.5,250,50,250,50,62.62451508,1177.481,1298.07769,1034.61,-1155.20669
10,100,1000,100,0.5,50,25,0.5,50,25,0.5,250,100,250,100,48.92297426,2183.068,1372.30345,708.17,102.59455
10,100,1000,100,0.5,75,25,0.5,75,25,0.5,250,100,250,100,48.08806671,2339.345,1444.70807,502.16,392.47693
10,100,1000,100,0.5,75,50,0.5,75,50,0.5,250,100,250,100,41.12707885,2601.477,1254.57812,895.61,451.28888
10,100,1000,100,0.5,50,25,0.5,50,25,0.5,250,150,250,150,46.01106007,2320.52,1498.39496,775.08,47.04504
10,100,1000,100,0.5,75,25,0.5,75,25,0.5,250,150,250,150,45.08699099,2485.612,1486.98788,601.19,397.43412
10,100,1000,100,0.5,75,50,0.5,75,50,0.5,250,150,250,150,37.35120139,2785.774,1272.16807,980.68,532.92593
10,100,1000,100,0.5,100,25,0.5,100,25,0.5,250,150,250,150,44.91887254,2552.786,1714.25454,438.09,400.44146
10,100,1000,100,0.5,100,50,0.5,100,50,0.5,250,150,250,150,43.38321896,2602.179,1400.15804,608.81,593.21096
10,100,1000,100,0.5,100,75,0.5,100,75,0.5,250,150,250,150,38.6446525,2808.475,1272.19346,829.17,707.11154
10,100,1000,100,0.5,125,25,0.5,125,25,0.5,250,150,250,150,42.39513199,2722.055,1588.81851,473.72,659.51649
10,100,1000,100,0.5,125,50,0.5,125,50,0.5,250,150,250,150,42.38035887,2702.452,1669.89933,477.58,554.97267
10,100,1000,100,0.5,125,75,0.5,125,75,0.5,250,150,250,150,40.91171918,2748.285,1358.91549,660.84,728.52951
10,100,1000,100,0.5,125,100,0.5,125,100,0.5,250,150,250,150,38.98805023,2827.939,1335.13032,732.28,760.52868
10,100,1000,100,0.5,50,25,0.5,50,25,0.5,250,200,250,200,45.35812246,2347.803,1592.98762,836.67,-81.85462
10,100,1000,100,0.5,75,25,0.5,75,25,0.5,250,200,250,200,45.13639576,2485.602,1529.37984,648.48,307.74216
